ObjectPoints (m)	ImagePoints (pixel)
x;y;z	x;y;r
1.154319;-3.205762;0.000000	448.000000;426.000000;50.000000
1.319618;-3.178628;0.045281	443.000000;424.000000;50.000000
1.956881;-2.588846;0.000000	346.000000;530.000000;51.000000
2.085728;-2.670294;0.000000	345.000000;421.000000;50.000000
2.515150;-3.386686;0.000000	370.000000;423.000000;43.000000
2.437794;-3.800604;0.043777	408.000000;425.000000;39.000000
1.849501;-4.085906;0.297848	452.000000;411.000000;39.000000
0.931778;-4.574929;0.293679	537.000000;415.000000;41.000000
0.917682;-4.681206;0.204953	539.000000;420.000000;41.000000
0.071150;-5.107432;0.280292	622.000000;420.000000;43.000000
-0.623841;-6.997054;0.267806	713.000000;416.000000;39.000000
0.617078;-5.969864;0.283148	606.000000;415.000000;37.000000
0.505210;-5.813671;0.229274	609.000000;418.000000;39.000000
1.753488;-5.635138;0.280938	519.000000;414.000000;31.000000
1.464800;-5.420642;0.131564	532.000000;421.000000;35.000000
3.099283;-4.210031;0.000000	388.000000;423.000000;36.000000
2.090461;-6.262867;0.037295	526.000000;483.000000;31.000000
0.379013;-7.379605;0.387137	654.000000;414.000000;33.000000
-0.488191;-6.135820;0.219213	693.000000;423.000000;40.000000
-1.072362;-4.948234;0.194929	726.000000;424.000000;53.000000
-1.452896;-3.588581;0.183461	0.000000;0.000000;0.000000
