ObjectPoints (m)	ImagePoints (pixel)
x;y;z	x;y;r
-1.291575;-4.887580;0.372109	751.000000;523.000000;56.000000
-0.507059;-4.313484;0.251300	651.000000;520.000000;52.000000
0.335005;-3.753202;0.157556	548.000000;522.000000;50.000000
1.149304;-3.143041;0.103520	446.000000;523.000000;50.000000
1.964879;-2.537849;0.000000	344.000000;527.000000;51.000000
2.534196;-3.391805;0.000000	371.000000;508.000000;42.000000
1.740869;-4.016221;0.000000	454.000000;506.000000;41.000000
0.915629;-4.653350;0.000000	539.000000;504.000000;41.000000
0.056683;-5.107455;0.305801	624.000000;504.000000;43.000000
-1.140089;-6.214126;0.219090	743.000000;504.000000;45.000000
-0.140717;-6.621039;0.277079	674.000000;488.000000;37.000000
0.609541;-6.012357;0.163494	605.000000;491.000000;37.000000
1.489180;-5.449780;0.000000	532.000000;490.000000;35.000000
2.325037;-4.867773;0.000000	460.000000;491.000000;35.000000
3.168891;-4.228439;0.000000	387.000000;494.000000;35.000000
