ObjectPoints (m)	ImagePoints (pixel)
x;y;z	x;y;r
-1.291232;-4.887249;0.371916	750.000000;523.000000;56.000000
-0.508446;-4.299051;0.268761	652.000000;521.000000;53.000000
0.336734;-3.759601;0.139879	548.000000;522.000000;50.000000
1.146672;-3.153683;0.095327	446.000000;523.000000;49.000000
1.955259;-2.537213;0.000000	344.000000;525.000000;51.000000
2.534196;-3.391805;0.000000	371.000000;508.000000;42.000000
1.755934;-4.045645;0.000000	454.000000;506.000000;41.000000
0.919710;-4.666442;0.000000	539.000000;503.000000;41.000000
-0.026816;-5.254776;0.332176	624.000000;504.000000;43.000000
-1.131496;-6.625979;0.243502	761.000000;509.000000;45.000000
-0.136959;-6.563727;0.342919	674.000000;488.000000;37.000000
0.644890;-6.017176;0.086656	605.000000;490.000000;37.000000
1.489180;-5.449780;0.000000	532.000000;490.000000;35.000000
2.333671;-4.881333;0.000000	459.000000;491.000000;35.000000
3.142811;-4.237754;0.000000	387.000000;493.000000;35.000000
